x-axis,F1
Hertz,dBV
+21.90000E+03,-100.16235E+00
+21.95000E+03,-100.26733E+00
+22.00000E+03,-109.96460E+00
+22.05000E+03,-98.73413E+00
+22.10000E+03,-99.93774E+00
+22.15000E+03,-100.70190E+00
+22.20000E+03,-107.24243E+00
+22.25000E+03,-103.03589E+00
+22.30000E+03,-116.02173E+00
+22.35000E+03,-106.40259E+00
+22.40000E+03,-98.78784E+00
+22.45000E+03,-100.16968E+00
+22.50000E+03,-100.99487E+00
+22.55000E+03,-97.08862E+00
+22.60000E+03,-98.10425E+00
+22.65000E+03,-105.93628E+00
+22.70000E+03,-107.10327E+00
+22.75000E+03,-94.33716E+00
+22.80000E+03,-96.45630E+00
+22.85000E+03,-100.48950E+00
+22.90000E+03,-101.08765E+00
+22.95000E+03,-117.11792E+00
+23.00000E+03,-96.01685E+00
+23.05000E+03,-93.57544E+00
+23.10000E+03,-103.01147E+00
+23.15000E+03,-111.74194E+00
+23.20000E+03,-106.59546E+00
+23.25000E+03,-109.27124E+00
+23.30000E+03,-109.52271E+00
+23.35000E+03,-103.83911E+00
+23.40000E+03,-108.22144E+00
+23.45000E+03,-99.99390E+00
+23.50000E+03,-102.66724E+00
+23.55000E+03,-105.32837E+00
+23.60000E+03,-99.83765E+00
+23.65000E+03,-97.89673E+00
+23.70000E+03,-103.70972E+00
+23.75000E+03,-99.22974E+00
+23.80000E+03,-110.07202E+00
+23.85000E+03,-100.40405E+00
+23.90000E+03,-95.92651E+00
+23.95000E+03,-101.77124E+00
+24.00000E+03,-96.98853E+00
+24.05000E+03,-104.92065E+00
+24.10000E+03,-108.76099E+00
+24.15000E+03,-122.56958E+00
+24.20000E+03,-100.75806E+00
+24.25000E+03,-98.87573E+00
+24.30000E+03,-99.07349E+00
+24.35000E+03,-99.29077E+00
+24.40000E+03,-102.01538E+00
+24.45000E+03,-97.79663E+00
+24.50000E+03,-105.44800E+00
+24.55000E+03,-96.83472E+00
+24.60000E+03,-108.00171E+00
+24.65000E+03,-103.75610E+00
+24.70000E+03,-101.48560E+00
+24.75000E+03,-100.18677E+00
+24.80000E+03,-104.98413E+00
+24.85000E+03,-105.21362E+00
+24.90000E+03,-106.75903E+00
+24.95000E+03,-98.79517E+00
+25.00000E+03,-96.70288E+00
+25.05000E+03,-86.04614E+00
+25.10000E+03,-94.90845E+00
+25.15000E+03,-119.43481E+00
+25.20000E+03,-100.24780E+00
+25.25000E+03,-105.57983E+00
+25.30000E+03,-107.17163E+00
+25.35000E+03,-109.97192E+00
+25.40000E+03,-101.65161E+00
+25.45000E+03,-102.00073E+00
+25.50000E+03,-103.63159E+00
+25.55000E+03,-108.04810E+00
+25.60000E+03,-98.59985E+00
+25.65000E+03,-104.38843E+00
+25.70000E+03,-104.31519E+00
+25.75000E+03,-111.60767E+00
+25.80000E+03,-102.50854E+00
+25.85000E+03,-94.40552E+00
+25.90000E+03,-101.93726E+00
+25.95000E+03,-106.27075E+00
+26.00000E+03,-94.68872E+00
+26.05000E+03,-102.96509E+00
+26.10000E+03,-105.36011E+00
+26.15000E+03,-104.42749E+00
+26.20000E+03,-99.42749E+00
+26.25000E+03,-100.88013E+00
+26.30000E+03,-98.84888E+00
+26.35000E+03,-106.75903E+00
+26.40000E+03,-99.10522E+00
+26.45000E+03,-92.12524E+00
+26.50000E+03,-105.52612E+00
+26.55000E+03,-103.04565E+00
+26.60000E+03,-114.01245E+00
+26.65000E+03,-100.11108E+00
+26.70000E+03,-105.48218E+00
+26.75000E+03,-98.68530E+00
+26.80000E+03,-109.59351E+00
+26.85000E+03,-100.09155E+00
+26.90000E+03,-101.21948E+00
+26.95000E+03,-104.05396E+00
+27.00000E+03,-102.87476E+00
+27.05000E+03,-81.71509E+00
+27.10000E+03,-98.36548E+00
+27.15000E+03,-99.72290E+00
+27.20000E+03,-100.07446E+00
+27.25000E+03,-101.85669E+00
+27.30000E+03,-100.05249E+00
+27.35000E+03,-96.85913E+00
